ชื่อมงคล,ความหมาย
ธนัญญ์,ผู้มีทรัพย์และคุณค่า
ธนัญญา,ผู้มีความรู้และผู้มีทรัพย์และคุณค่า
ธนัฏฐา,"ธน (ธน: ป., ส. ทรัพย์, เงิน) + อฏฺฐา (อฏฺฐา: ป. ที่ตั้ง, ที่อยู่, หลักฐาน) (สมาส) = ผู้มีทรัพย์เป็นหลักฐานมั่นคง, ผู้ตั้งมั่นในทรัพย์"
ธนัฐจักร,ผู้ตั้งมั่น ผู้มีทรัพย์และคุณค่า และผู้สร้างสรรค์ด้วยความสามารถ
ธนัท,"ธน (ทรัพย์, สมบัติ) + นัท (ผู้ให้, ที่พึ่ง) = ผู้เป็นที่พึ่งแห่งทรัพย์, ผู้ให้ทรัพย์"
ธนัทธร,ผู้มีทรัพย์และคุณค่าและผู้ค้ำจุน
ธนัน,ผู้มีทรัพย์และคุณค่า
ธนันดร,ผู้มีทรัพย์และคุณค่าและผู้มีฐานะสูงส่ง
ธนันต์ธรญ์,"ธนันต์ (มีทรัพย์ไม่สิ้นสุด, ทรัพย์มากมาย) + ธรญ์ (ผู้ทรง, ผู้รักษา) = ผู้ทรงไว้ซึ่งทรัพย์อันไม่สิ้นสุด, ผู้มีทรัพย์มากมาย"
ธนันท์,ผู้มีทรัพย์และคุณค่าและผู้มีความสุขยินดี
ธนันธร,ผู้มีทรัพย์และคุณค่าและผู้ค้ำจุน
ธนันนท์,ผู้มีทรัพย์และคุณค่าและผู้มีความสุขยินดี
ธนา,ผู้มีทรัพย์และคุณค่าและผู้มั่งคั่งด้วยทรัพย์
ธนากร,"ธน (ทรัพย์, สมบัติ) + อากร (บ่อเกิด, แหล่ง) = บ่อเกิดแห่งทรัพย์, แหล่งรวมทรัพย์"
ธนาคช,ผู้มีทรัพย์และคุณค่าและผู้มั่งคั่งด้วยทรัพย์
ธนาคม,ผู้มีทรัพย์และคุณค่า ผู้มั่งคั่งด้วยทรัพย์ และผู้เฉียบคม
ธนาคาร,ผู้มีทรัพย์และคุณค่า ผู้มั่งคั่งด้วยทรัพย์ และแหล่งเก็บรักษาทรัพย์
ธนาธรณ์,"ธน (ธน: ป., ส. ทรัพย์, เงิน, ของมีค่า) + อาธรณ์ (อาธรณ: ส. การทรงไว้, การแบกไว้) (สนธิ) = ผู้ทรงไว้ซึ่งทรัพย์สมบัติอันมากค่า"
ธนาธาร,ผู้มีทรัพย์และคุณค่า ผู้มั่งคั่งด้วยทรัพย์ และผู้เป็นสายน้ำแห่งความมั่งคั่ง
ธนาธิป,"ธนา (ทรัพย์, สมบัติ) + อธิป (ผู้เป็นใหญ่, เจ้า) = ผู้เป็นใหญ่ในทรัพย์, เจ้าแห่งทรัพย์"
ธนาธิษณ์,ผู้มีถิ่นฐานหรือสถานะแห่งความดี ผู้มีทรัพย์และคุณค่า และผู้มั่งคั่งด้วยทรัพย์
ธนานันต์,ผู้มีทรัพย์และคุณค่าและผู้มั่งคั่งด้วยทรัพย์
ธนานิษฐ์,ผู้ตั้งมั่น ผู้มีทรัพย์และคุณค่า และผู้มั่งคั่งด้วยทรัพย์
ธนารักษ์,ผู้มีทรัพย์และคุณค่า ผู้มั่งคั่งด้วยทรัพย์ และผู้เป็นที่รัก
ธนาวรรณ,ผู้มีถิ่นฐานหรือสถานะแห่งความดี ผู้มีทรัพย์และคุณค่า และผู้มั่งคั่งด้วยทรัพย์
ธนิก,"ธน (ทรัพย์, สมบัติ) + อิก (ผู้มี) = ผู้มีทรัพย์, คนมั่งมี"
ธนิกธน,ผู้มีทรัพย์และคุณค่าและผู้มั่งคั่ง
ธนิช,ผู้มีทรัพย์และคุณค่า ผู้มั่งคั่ง และผู้เป็นของตนหรือเฉพาะตน
ธนิฐา,ผู้ตั้งมั่น ผู้มีทรัพย์และคุณค่า และผู้มั่งคั่ง
ธนิณัช,ผู้เกิดมาเพื่อปัญญา ผู้มีถิ่นฐานหรือสถานะแห่งความดี และผู้มีทรัพย์และคุณค่า
ธนิทธิ,ผู้มีทรัพย์และคุณค่าและผู้มั่งคั่ง
ธนิน,"ธน (ทรัพย์, สมบัติ) + อิน (ผู้มี) = ผู้มีทรัพย์"
ธนินท์,"ธน (ทรัพย์, สมบัติ) + อินท์ (ผู้เป็นใหญ่, เจ้า) = ผู้เป็นใหญ่ในทรัพย์, เจ้าแห่งทรัพย์"
ธนินท์ธร,ผู้มีทรัพย์และคุณค่า ผู้มั่งคั่ง และผู้ค้ำจุน
ธนินทร,ผู้เป็นใหญ่ด้วยทรัพย์ ผู้มั่งคั่งด้วยทรัพย์ และผู้มั่งคั่ง
ธนินทร์,ผู้เป็นใหญ่ด้วยทรัพย์ ผู้มั่งคั่งด้วยทรัพย์ และผู้มั่งคั่ง
ธนินท์รัฐ,ผู้มั่งคั่งด้วยทรัพย์ ผู้มั่งคั่ง และผู้มีทรัพย์และคุณค่า
ธนินทรา,ผู้เป็นใหญ่ด้วยทรัพย์ ผู้มั่งคั่งด้วยทรัพย์ และผู้มั่งคั่ง
ธนินนัทธ์,ผู้มั่งคั่งด้วยทรัพย์ ผู้มั่งคั่ง และผู้มีทรัพย์และคุณค่า
ธนิวรรณ,ผู้มั่งคั่ง ผู้มีทรัพย์และคุณค่า และผู้ใหม่และสดใส
ธนิศร์,ผู้มั่งคั่งและผู้มีทรัพย์และคุณค่า
ธนิษฐ์,ผู้มั่งคั่ง ผู้มีทรัพย์และคุณค่า และผู้มั่นคงในความดี
ธนิษฐา,ผู้มั่งคั่ง ผู้มีทรัพย์และคุณค่า และผู้มั่นคงในความดี
ธนิสร,ผู้มั่งคั่งและผู้มีทรัพย์และคุณค่า
ธบัณจ์ภณ,ผู้มีฐานะแห่งความดีและวาจาไพเราะ
ธบิน,
ธภัทร,ผู้มีธรรมะ ความดีงามเป็นมงคล และความมั่นคง
ธมกร,"ธม (ธรรมะ, ความดี) + กร (ผู้กระทำ, ผู้สร้าง) = ผู้สร้างคุณธรรม, ผู้กระทำความดี"
ธมธร,ผู้มีธรรมะ การค้ำจุน และความมั่นคงสูงส่ง
ธมน,"ธมน (กลีบดอกไม้, พวงดอกไม้, เครื่องประดับ) = ดอกไม้, เครื่องประดับ (สื่อถึงความงามและความเจริญตา)"
ธมนณัฏฐ,ผู้เปี่ยมด้วยฐานะแห่งความดี
ธมนณัฏฐ์,ผู้มีปัญญานักปราชญ์และปัญญา
ธมนณัท,ผู้เปี่ยมด้วยฐานะแห่งความดี
ธมนต์วรรณธ์,
ธมนภัค,ผู้สูงส่งดั่งฟ้าและผู้มีโชค
ธมนภัทร,ผู้สูงส่งและดีงาม ผู้สูงส่งดั่งฟ้า และผู้ดีงามเป็นมงคล
ธมนวรรณ,ผู้ใหม่ สดใส และก้าวหน้า ผู้มีวรรณะงดงาม และผู้ประเสริฐ
ธมนันท์,ผู้มีธรรมะและความสุขยินดี
ธมล,ผู้มีใจงดงามและมั่งคั่ง
ธมลกัญ,ผู้มีคุณค่าและความละมุน
ธมลณัฏฐ,ผู้มีฐานะแห่งความดีและความละมุน
ธมลณัฏฐ์,ผู้มีปัญญานักปราชญ์ ความละมุน และปัญญา
ธมลธน,ผู้มีทรัพย์และความละมุน
ธมลธร,ผู้มีธรรมะ ความละมุน และการค้ำจุน
ธมลนิษฐ์,ผู้มีธรรมะและความละมุน
ธมลวรรณ,ผู้มีวรรณะงดงามและผู้ประเสริฐ
ธมลเอก,ผู้มีใจงดงามเป็นเลิศ
ธรกร,"ธร (ผู้ทรงไว้, ผู้รักษา) + กร (ผู้กระทำ, ผู้สร้าง) = ผู้สร้างความมั่นคง, ผู้ค้ำจุน, ผู้กระทำให้ดำรงอยู่"
ธรกานต์,"ธร (ผู้ทรงไว้, แผ่นดิน) + กานต์ (เป็นที่รัก) = ผู้เป็นที่รักแห่งแผ่นดิน หรือ ผู้ทรงไว้ซึ่งความเป็นที่รัก"
ธรคุณ,"ธร (ผู้ทรงไว้, แผ่นดิน) + คุณ (คุณความดี) = ผู้ทรงไว้ซึ่งคุณความดี หรือ ผู้มีคุณความดีดุจแผ่นดิน"
ธรณ์,ผู้ค้ำจุนและผู้ค้ำจุนไว้
ธรณ์ธวัล,"ธรณ์ (แผ่นดิน, ผู้ทรงไว้) + ธวัล (บริสุทธิ์, ขาวสะอาด) = ผู้ทรงไว้ซึ่งความบริสุทธิ์ หรือ แผ่นดินอันบริสุทธิ์ผุดผ่อง"
ธรณัส,ผู้ค้ำจุน
ธรณินทร์,ธรณี (แผ่นดิน) + อินทร์ (ผู้เป็นใหญ่) = ผู้เป็นใหญ่แห่งแผ่นดิน หรือ ราชาแห่งแผ่นดิน
ธรดล,"ธร (ผู้ทรงไว้, ค้ำจุน) + ดล (พื้น, แผ่นดิน) = ผู้ค้ำจุนพื้นแผ่นดิน หรือ ผู้ทรงไว้ซึ่งแผ่นดิน"
ธรดา,"ธร (ผู้ทรงไว้, แผ่นดิน) + ดา (ผู้ให้, ให้) = ผู้ให้การค้ำจุน หรือ ผู้ที่ทรงไว้ซึ่งการให้"
ธรเดช,"ธร (ผู้ทรงไว้, แผ่นดิน) + เดช (อำนาจ, ความรุ่งเรือง) = ผู้ทรงไว้ซึ่งอำนาจและความรุ่งเรือง หรือ ผู้มีเดชานุภาพดุจแผ่นดิน"
ธรธนันท์,ผู้ค้ำจุน ผู้มีทรัพย์และคุณค่า และผู้มีความสุขยินดี
ธรธนินท์,ผู้ค้ำจุน ผู้มั่งคั่งด้วยทรัพย์ และผู้มั่งคั่ง
ธรธรรม,ผู้ตั้งมั่นในธรรมและผู้ค้ำจุน
ธรนันท์,ผู้ค้ำจุนและผู้มีความสุขยินดี
ธรนัส,ผู้ค้ำจุนและผู้มีจิตใจ
ธรนา,"ธร (ผู้ทรงไว้, ค้ำจุน) + นา (ผู้ชี้นำ, นำไป - จากรากศัพท์ นี) = ผู้ทรงไว้ซึ่งการชี้นำ หรือ ผู้ชี้นำการค้ำจุน"
ธรนินทร์,ผู้ค้ำจุน
ธรนิศ,ผู้ค้ำจุน
ธรภัทร,ผู้ค้ำจุนและผู้ดีงามเป็นมงคล
ธรภัทรา,"ธร (ผู้ทรงไว้, แผ่นดิน) + ภัทรา (ดีงาม, เจริญ, เป็นมงคล) = ผู้ทรงไว้ซึ่งความดีงามและความเจริญรุ่งเรือง"
ธรภา,"ธร (ผู้ทรงไว้, แผ่นดิน) + ภา (แสงสว่าง, รัศมี, ความรุ่งเรือง) = ผู้ทรงไว้ซึ่งความรุ่งเรือง หรือ ผู้มีแสงสว่างดุจแผ่นดิน"
ธรภาณุ,"ธร (ผู้ทรงไว้, แผ่นดิน) + ภาณุ (แสงสว่าง, พระอาทิตย์) = ผู้ทรงไว้ซึ่งแสงสว่าง หรือ ผู้เป็นดุจพระอาทิตย์ที่ค้ำจุนแผ่นดิน"
ธรมณี,"ธร (ผู้ทรงไว้, แผ่นดิน) + มณี (แก้ว, อัญมณี) = ผู้ทรงไว้ซึ่งแก้วอันมีค่า หรือ แผ่นดินอันเป็นดุจแก้วมณี"
ธรเมธา,"ธร (ผู้ทรงไว้, แผ่นดิน) + เมธา (ปัญญา, ความรู้) = ผู้ทรงไว้ซึ่งปัญญาความรู้ หรือ ผู้มีปัญญาดุจแผ่นดิน"
ธรรพ,"ธรรพ (การบำรุง, การเลี้ยงดู - ส. ธรฺว) = ผู้บำรุง ผู้เลี้ยงดู"
ธรรม์,ธรรมะหรือความถูกต้องดีงาม
ธรรมขันธ์,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และองค์ประกอบแห่งชีวิต
ธรรมคุณ,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้เปี่ยมคุณธรรม
ธรรมจารี,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้ประพฤติตามแบบแผนดีงาม
ธรรมณัฐ,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และนักปราชญ์ผู้มีปัญญา
ธรรมธัช,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้เป็นธงแห่งเกียรติ
ธรรม์นลัท,"ธรรม์ (คุณความดี, ความถูกต้อง) + นลัท (เครื่องหอม, สิ่งดีงาม) = ผู้มีคุณความดีอันหอมหวน หรือ ผู้ทรงไว้ซึ่งความถูกต้องดีงามดุจเครื่องหอม"
ธรรมนันท์,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้มีความสุขยินดี
ธรรมนัส,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้มีจิตใจ
ธรรมภณ,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้มีวาจาดี
ธรรมมโนวานิช,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้ใหม่ สดใส และก้าวหน้า
ธรรมโม,ธรรมะอันเป็นเครื่องนำชีวิต
ธรรมรักษ์,"ธรรม (บาลี-สันสกฤต: ความดี, ความถูกต้อง, กฎเกณฑ์) + รักษ์ (สันสกฤต: การรักษา, การคุ้มครอง) = ผู้รักษาธรรม, ผู้คุ้มครองความดีงาม"
ธรรมรัฐ,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้เกี่ยวข้องกับบ้านเมือง
ธรรมิก,ผู้ตั้งมั่นในธรรม ผู้ประพฤติธรรม และผู้ค้ำจุน
ธรรศ,ผู้มีทัศนะอันลึกซึ้งและผู้ค้ำจุน
ธรรศธนัญ,ผู้มีทัศนะอันลึกซึ้ง ผู้ค้ำจุน และผู้มีทรัพย์และคุณค่า
ธรรศธรณ์,ผู้มีทัศนะอันลึกซึ้ง ผู้ค้ำจุน และผู้ค้ำจุนไว้
ธรรศธรรม,ผู้ตั้งมั่นในธรรม ผู้มีทัศนะอันลึกซึ้ง และผู้ค้ำจุน
ธรรศยชญ์,ผู้มีทัศนะอันลึกซึ้ง ผู้ค้ำจุน และผู้บูชาและมีเกียรติ
ธรรัตน์,"ธร (ผู้ทรงไว้, แผ่นดิน) + รัตน์ (แก้ว, ของมีค่า) = ผู้ทรงไว้ซึ่งแก้วอันมีค่า หรือ แผ่นดินอันเป็นดุจแก้วรัตนะ"
ธรรัตนา,"ธร (ผู้ทรงไว้, แผ่นดิน) + รัตนา (แก้ว, ของมีค่า (รูปสตรี)) = ผู้ทรงไว้ซึ่งแก้วอันมีค่า (ที่เป็นหญิง) หรือ แผ่นดินอันเป็นดุจแก้วรัตนา"
ธรรินี,"ธร (ผู้ทรงไว้, ค้ำจุน) + อินี (ปัจจัยสตรี) = ผู้หญิงผู้ทรงไว้ซึ่งความดีงาม หรือ ผู้ค้ำจุน (ที่เป็นหญิง)"
ธรเรศ,"ธร (ผู้ทรงไว้, แผ่นดิน) + เรศ (ผู้เป็นใหญ่, เจ้า) = ผู้เป็นใหญ่แห่งแผ่นดิน หรือ ผู้ทรงไว้ซึ่งความเป็นใหญ่"
ธรลักษณา,"ธร (ผู้ทรงไว้, แผ่นดิน) + ลักษณา (ลักษณะ, คุณสมบัติ) = ผู้ทรงไว้ซึ่งลักษณะอันดีงาม, ผู้มีคุณสมบัติแห่งความมั่นคงดุจแผ่นดิน"
ธรลินา,"ธร (ผู้ทรงไว้, แผ่นดิน) + ลินา (ผู้ที่รวมเข้าด้วยกันอย่างงดงาม, ความงามอันอ่อนโยน) = ผู้ทรงไว้ซึ่งความงดงามอันอ่อนโยน, ผู้รวมสิ่งดีงามไว้ดุจแผ่นดิน"
ธรวร,"ธร (ผู้ทรงไว้, แผ่นดิน) + วร (ประเสริฐ, เลิศ) = ผู้ทรงไว้ซึ่งความประเสริฐ, ผู้ประเสริฐแห่งแผ่นดิน"
ธรวรา,"ธร (ผู้ทรงไว้, แผ่นดิน) + วรา (ประเสริฐ, เลิศ - สำหรับหญิง) = สตรีผู้ทรงไว้ซึ่งความประเสริฐ, ผู้ประเสริฐแห่งแผ่นดิน"
ธรวรินทร์,ผู้ค้ำจุน ผู้เป็นใหญ่และประเสริฐ และผู้ประเสริฐดุจสายน้ำ
ธรวัฒ,"ธร (ผู้ทรงไว้, แผ่นดิน) + วัฒ (ความเจริญ, ความงอกงาม) = ผู้ทรงไว้ซึ่งความเจริญ, ผู้ทำให้แผ่นดินเจริญรุ่งเรือง"
ธรวินา,"ธร (ผู้ทรงไว้, แผ่นดิน) + วินา (พิณ) = ผู้ทรงไว้ซึ่งพิณ (ผู้มีเสียงไพเราะ, ผู้สร้างความรื่นรมย์), พิณแห่งแผ่นดิน"
ธรวุฒิ,"ธร (ผู้ทรงไว้, แผ่นดิน) + วุฒิ (ความเจริญ, ความงอกงาม) = ผู้ทรงไว้ซึ่งความเจริญ, ผู้ทำให้แผ่นดินมีความเจริญงอกงาม"
ธรศร,"ธร (ผู้ทรงไว้, แผ่นดิน) + ศร (ลูกศร) = ผู้ทรงไว้ซึ่งลูกศร (ผู้ปกป้อง, ผู้มีจุดมุ่งหมาย), ลูกศรแห่งแผ่นดิน"
ธรัช,ผู้ค้ำจุนความรุ่งเรือง
ธรา,ผู้ค้ำจุนและผู้มั่นคงดุจแผ่นดิน
ธราดล,"ธรา (แผ่นดิน, โลก) + ดล (แผ่นดิน, บันดาล) = แผ่นดินโลก, ผู้บันดาลให้เกิดแผ่นดิน"
ธราธรรม,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้มั่นคงดุจแผ่นดิน
ธราธิป,ผู้ค้ำจุนและผู้มั่นคงดุจแผ่นดิน
ธรานนท์,ผู้ค้ำจุน ผู้มั่นคงดุจแผ่นดิน และผู้มีความสุขยินดี
ธราลิณ,
ธราวุธ,ผู้ค้ำจุน ผู้มั่นคงดุจแผ่นดิน และผู้มีพลังป้องกัน
ธรินทร์ธร,ผู้ค้ำจุนและผู้เป็นใหญ่
ธรุวา,
ธฤษณุ,ผู้ทรงอานุภาพในการคุ้มครอง
ธวัช,ผู้เป็นธงชัยแห่งเกียรติ
ธวัชธรรม,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้เป็นธงชัยแห่งเกียรติ
ธวัชร์,ผู้เป็นธงชัยแห่งเกียรติและผู้แข็งแกร่งดุจเพชร
ธวัล,ผู้ขาวผ่องบริสุทธิ์
ธวัลกร,ผู้ขาวผ่องบริสุทธิ์และผู้สร้างสรรค์
ธัชกร,"ธัช (ธง, ผู้นำ) + กร (ผู้กระทำ, ผู้สร้าง) = ผู้สร้างธง (ผู้สร้างสัญลักษณ์), ผู้เป็นผู้นำ"
ธัชกานต์,"ธัช (ธง, ผู้นำ) + กานต์ (เป็นที่รัก, น่ารัก) = ธงอันเป็นที่รัก, ผู้นำที่เป็นที่รักและน่าเคารพ"
ธัชคุณ,"ธัช (ธง, ผู้นำ) + คุณ (ความดี, คุณธรรม) = ธงแห่งความดี, ผู้นำแห่งคุณธรรม"
ธัชชญา,ผู้มีความรู้และเกียรติเป็นธงชัย
ธัชญา,ผู้เป็นธงแห่งเกียรติและผู้มีความรู้
ธัชดล,"ธัช (ธง, ผู้นำ) + ดล (แผ่นดิน, บันดาล) = ธงแห่งแผ่นดิน, ผู้สร้างชื่อเสียงให้แผ่นดิน"
ธัชดา,"ธัช (ธง, ผู้นำ) + ดา (ผู้ให้) = ผู้ให้ธง (ผู้ชูธง), ผู้เป็นผู้นำ"
ธัชเดช,"ธัช (ธง, ผู้นำ) + เดช (อำนาจ, อานุภาพ) = ธงแห่งอำนาจ, ผู้นำผู้มีอานุภาพ"
ธัชธร,ผู้ค้ำจุนและผู้เป็นธงแห่งเกียรติ
ธัชธรรม,ผู้ตั้งมั่นในธรรม ผู้ค้ำจุน และผู้เป็นธงแห่งเกียรติ
ธัชธรรม์,"ธัช (ธง, ผู้นำ) + ธรรม์ (ธรรม, ความดี) = ธงแห่งธรรมะ, ผู้นำแห่งความดีงาม"
ธัชพล,"ธัช (ธง, ผู้นำ) + พล (กำลัง, กองทัพ) = ธงแห่งกำลัง, ผู้นำผู้มีพลังอันยิ่งใหญ่"
ธัชภัทรา,"ธัช (ธง, ผู้นำ) + ภัทรา (ดีงาม, เจริญ - สำหรับหญิง) = สตรีผู้เป็นธงแห่งความดีงาม, ผู้นำหญิงผู้เจริญ"
ธัชภา,"ธัช (ธง, ผู้นำ) + ภา (แสงสว่าง, ความรุ่งเรือง) = ธงแห่งแสงสว่าง, ผู้นำแห่งความรุ่งเรือง"
ธัชภาณุ,"ธัช (ธง, เครื่องหมาย, ยอด) + ภาณุ (พระอาทิตย์, แสงสว่าง) = ผู้เป็นยอดแห่งแสงสว่าง, ผู้รุ่งโรจน์ดุจพระอาทิตย์"
ธัชมณี,"ธัช (ธง, เครื่องหมาย, ยอด) + มณี (แก้ว, เพชรพลอย) = ผู้เป็นยอดแห่งแก้วมณี, ผู้มีค่าสูงส่ง"
ธัชเมธา,"ธัช (ธง, เครื่องหมาย, ยอด) + เมธา (ปัญญา, ความรู้) = ผู้เป็นยอดแห่งปัญญา, ผู้มีปัญญาเลิศ"
ธัชรพ,"ธัช (ธง, เครื่องหมาย, ยอด) + รพ (เสียง, ก้อง) = ผู้มีเกียรติยศก้องกังวาน, ผู้เป็นยอดแห่งเสียง"
ธัชรัตน์,"ธัช (ธง, เครื่องหมาย, ยอด) + รัตน์ (แก้ว, เพชรพลอย, ของมีค่า) = ผู้เป็นยอดแห่งรัตนะ, ผู้มีค่าประดุจแก้ว"
ธัชรัตนา,"ธัช (ธง, เครื่องหมาย, ยอด) + รัตนา (แก้ว, เพชรพลอย, ของมีค่า) = สตรีผู้เป็นยอดแห่งรัตนะ, สตรีผู้มีค่าประดุจแก้ว"
ธัชรา,"ธัช (ธง, เครื่องหมาย, ยอด) + รา (ทอง, ทรัพย์สมบัติ) = ผู้เป็นยอดแห่งทองคำ, ผู้มั่งคั่งและสูงส่ง"
ธัชรินี,"ธัช (ธง, เครื่องหมาย, ยอด) + รินี (สตรี) = สตรีผู้เป็นยอด, สตรีผู้เป็นธงชัย"
ธัชเรศ,"ธัช (ธง, เครื่องหมาย, ยอด) + เรศ (ผู้เป็นใหญ่, พระเจ้าแผ่นดิน) = ผู้เป็นยอดแห่งผู้เป็นใหญ่, ผู้มีอำนาจยิ่งใหญ่"
ธัชลักษณา,"ธัช (ธง, เครื่องหมาย, ยอด) + ลักษณา (ลักษณะ, เครื่องหมาย, ความดีงาม) = ผู้มีลักษณะอันเป็นยอด, ผู้มีคุณงามความดีเด่น"
ธัชลินา,"ธัช (ธง, เครื่องหมาย, ยอด) + ลินา (ผู้น่ารัก, หญิงงาม) = สตรีผู้เป็นยอดแห่งความน่ารัก, สตรีผู้งดงามเลิศ"
ธัชวร,"ธัช (ธง, เครื่องหมาย, ยอด) + วร (ประเสริฐ, เลิศ, ดีเยี่ยม) = ผู้เป็นยอดแห่งความประเสริฐ, ผู้ดีเลิศ"
ธัชวรา,"ธัช (ธง, เครื่องหมาย, ยอด) + วรา (ประเสริฐ, เลิศ, ดีเยี่ยม) = สตรีผู้เป็นยอดแห่งความประเสริฐ, สตรีผู้ดีเลิศ"
ธัชวัฒ,"ธัช (ธง, เครื่องหมาย, ยอด) + วัฒ (ความเจริญ, ความงอกงาม) = ผู้เป็นยอดแห่งความเจริญ, ผู้มีความเจริญรุ่งเรือง"
ธัชวินา,"ธัช (ธง, เครื่องหมาย, ยอด) + วินา (พิณ) = ผู้เป็นยอดแห่งพิณ, ผู้มีเสน่ห์ไพเราะดุจพิณ"
ธัชวุฒิ,"ธัช (ธง, เครื่องหมาย, ยอด) + วุฒิ (ความเจริญ, ความงอกงาม, ความสำเร็จ) = ผู้เป็นยอดแห่งความเจริญ, ผู้มีความสำเร็จเป็นเลิศ"
ธัญ,
ธัญกมล,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้มีใจงดงาม
ธัญกร,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้สร้างสรรค์
ธัญจิรา,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้ยั่งยืนยาวนาน
ธัญชญา,"ธัญ (ดี, รุ่งเรือง, เป็นสิริมงคล) + ชญา (ความรู้, ปัญญา) = ผู้มีปัญญาและความรู้ดีอันเป็นสิริมงคล"
ธัญญชล,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้เย็นใสดุจสายน้ำ
ธัญญธร,ผู้ค้ำจุนและผู้มีสิริมงคลและอุดมสมบูรณ์
ธัญญ์นรี,ผู้มีสิริมงคลและอุดมสมบูรณ์ ผู้เป็นมนุษย์ผู้มีคุณค่า และหญิงผู้สง่างาม
ธัญญ์นลิน,
ธัญญ์นิธิ,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้เป็นขุมทรัพย์
ธัญญ์ภูริ,"ธัญญ์ (ดี, รุ่งเรือง, เป็นสิริมงคล) + ภูริ (ปัญญา, แผ่นดิน) = ผู้มีปัญญาอันกว้างขวางและเจริญรุ่งเรือง"
ธัญญ์รภัสร์,ผู้มีสิริมงคลและอุดมสมบูรณ์ ผู้เปล่งแสงสว่าง และผู้มีรัศมีสว่าง
ธัญญลักษณ์,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้มีลักษณะงดงาม
ธัญญ์ลิน,
ธัญญ์วาริณทธ์,
ธัญญ์วารินท์,
ธัญญ์วารินทธ์,
ธัญญา,"ธัญญา (ดี, รุ่งเรือง, มีโชค, เป็นสิริมงคล) = ผู้เป็นสิริมงคล, ผู้เจริญรุ่งเรือง"
ธัญญานภัส,"ธัญญา (บาลี: ธญฺญา, สันสกฤต: ธานฺยา หมายถึง โชค, ความอุดมสมบูรณ์, ความมั่งคั่ง) + นภัส (บาลี-สันสกฤต: นภสฺ หมายถึง ท้องฟ้า, สวรรค์) = ผู้มีโชคและอุดมสมบูรณ์ดุจท้องฟ้า"
ธัญญานันท์,"ธัญญา (ความเจริญ, ความโชคดี) + อนันท์ (ไม่มีที่สิ้นสุด) = ผู้มีความเจริญและความโชคดีที่ไม่มีที่สิ้นสุด"
ธัญญาริน,
ธัญญาลักษณ์,"ธัญญา (ความเจริญ, ความโชคดี) + ลักษณ์ (ลักษณะ, เครื่องหมาย, โชค) = ผู้มีลักษณะแห่งความเจริญและโชคดี"
ธัญญาวรัญญา,"ธัญญา (ความเจริญ, ความโชคดี) + วร (ประเสริฐ) + ญา (ความรู้, ปัญญา) = ผู้มีความเจริญด้วยปัญญาอันประเสริฐ"
ธัญธร,ผู้ค้ำจุนและผู้มีสิริมงคลและอุดมสมบูรณ์
ธัญธรณ์,ผู้ค้ำจุน ผู้ค้ำจุนไว้ และผู้มีสิริมงคลและอุดมสมบูรณ์
ธัญนภัทร์,ผู้มีสิริมงคลและอุดมสมบูรณ์ ผู้สูงส่งและดีงาม และผู้สูงส่งดั่งฟ้า
ธัญนภัส,"ธัญ (โชคดี, มีโชค, เป็นมงคล, ข้าวเปลือก) + นภัส (ท้องฟ้า, อากาศ) = ผู้มีโชคดุจท้องฟ้าอันกว้างใหญ่, ผู้มีโชคอันเป็นมงคล"
ธัญนันทณ์,ผู้มีสิริมงคลและความสุขยินดี
ธัญนันทน์,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้มีความสุขยินดี
ธัญบูรณ์,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้บริบูรณ์
ธัญภัคณันท์,ผู้มีสิริมงคลและอุดมสมบูรณ์และผู้มีโชค
ธัญภัทรา,"ธัญ (โชคดี, เป็นมงคล) + ภัทรา (ดีงาม, ประเสริฐ) = ผู้มีความมงคลอันประเสริฐ, ผู้มีโชคดีและดีงาม"
ธัญมน,ผู้มีสิริมงคลและอุดมสมบูรณ์
ธัญมล,ผู้มีสิริมงคลและอุดมสมบูรณ์
ธัญลักษณ์,"ธัญ (ความเจริญ, ความโชคดี) + ลักษณ์ (ลักษณะ, เครื่องหมาย, โชค) = ผู้มีลักษณะแห่งความเจริญและโชคดี"
