ชื่อ,คำอ่าน,ความหมาย
บรมัตถ์,บะ-ระ-มัด,ผู้สูงสุดและประเสริฐและเข้าถึงประโยชน์อันสูงสุด
บรรจงประสิทธิ์,บัน-จง-ประ-สิด,ผู้มีความสำเร็จและความประณีต
บรรจงปรุ,บัน-จง-ปรุ,ผู้เปี่ยมด้วยความเต็มพร้อม
บรรจบ,บัน-จบ,ผู้สมบูรณ์พร้อมและพบพานสิ่งดี
บรรเจิด,บัน-เจิด,ผู้รุ่งเรืองโดดเด่น
บรรณกร,บัน-นะ-กอน,ผู้เกี่ยวข้องกับหนังสือและความรู้และสร้างสรรค์
บรรณนนท์,บัน-นะ-นน,ผู้มีความสุขยินดีและเกี่ยวข้องกับหนังสือและความรู้
บรรณพัชร์,บัน-นะ-พัด,ผู้เกี่ยวข้องกับหนังสือและความรู้
บรรณพิชญ์,บัน-นะ-พิด,ผู้เกี่ยวข้องกับหนังสือและความรู้
บรรณพิทย์,บัน-นะ-พิด,ผู้เกี่ยวข้องกับหนังสือและความรู้
บรรณรต,บัน-นะ-รด,ผู้รื่นรมย์ในความรู้
บรรณรัตน์,บัน-นะ-รัด,ผู้เกี่ยวข้องกับหนังสือและความรู้และล้ำค่าดุจแก้ว
บรรณวัชร,บัน-นะ-วัด,ผู้เกี่ยวข้องกับหนังสือและความรู้
บรรณวัฒน์,บัน-นะ-วัด,ผู้เกี่ยวข้องกับหนังสือและความรู้
บรรณวิชญ์,บัน-นะ-วิด,ผู้มีความรู้
บรรณวิทิต,บัน-นะ-วิ-ทิด,ผู้เกี่ยวข้องกับหนังสือและความรู้
บรรณสรณ์,บัน-นะ-สอน,ผู้มีความรู้
บรรณสิทธิ์,บัน-นะ-สิด,ผู้มีความรู้และความสำเร็จ
บรรพกร,บอ-ระ-พะ-กอน,ผู้มีความเต็มพร้อมและความมั่นคงสูงส่ง
บรรพต,บัน-พด,ผู้มั่นคงสูงส่งดุจภูเขา
บรรพธี,บัน-พะ-ที,ผู้มีธรรมะและปัญญามั่นคง
บรรยงก์,บัน-ยง,ผู้เปี่ยมด้วยความเต็มพร้อม
บรรยงภรณ์,บอ-รง-ยะ-พอน,ผู้ค้ำจุนและเป็นเครื่องประดับ
บรรลือเกียรติ์,บัน-ลือ-เกีย-ระ-ติ,ผู้มีชื่อเสียงเลื่องลือและมีเกียรติยศ
บรรลือชัย,บัน-ลือ-ไช,ผู้มีความเต็มพร้อม ความละมุน และชัยชนะ
บรรลือศักดิ์,บัน-ลือ-สัก,ผู้มีชื่อเสียงเลื่องลือและมีอำนาจและเกียรติ
บรรหาร,บัน-หาร,ผู้มีวาจานำทางและบริหารจัดการได้ดี
บราวน์,บราว,เป็นคำยืมจากภาษาอังกฤษ หมายถึง สีน้ำตาล
บริค,บอ-ริก,คำทับศัพท์จากภาษาอังกฤษ 'brick' ไม่มีรากศัพท์บาลี-สันสกฤต…
บริณต,บอ-ริ-นด,ผู้น้อมลงด้วยความอ่อนน้อม
บริณัย,บอ-ริ-ไน,ผู้มีวินัยและความอ่อนน้อม
บริธาน,บอ-ริ-ทาน,ผู้เป็นหลักในการจัดการและค้ำจุน
บริบูรณ์,บอ-ริ-บูน,ผู้มีความดีงาม
บริพันธ์,บอ-ริ-พัน,ผู้ผูกพันรายล้อมด้วยความดี
บริรักษ์,บอ-ริ-เรด,ผู้ปกป้องรักษาอย่างดี
บริวัตร,บะ-ริ-วัด,ผู้ประพฤติปฏิบัติดี
บริษัทมณฑล,บอ-ริ-สัด-ทะ-มน,ผู้มีฐานะแห่งความดีและความละมุน
บรีฟ,บรีฟ,คำทับศัพท์จากภาษาอังกฤษ 'brief' ไม่มีรากศัพท์บาลี-สันสกฤต…
บรูค,บรู-ค,คำทับศัพท์จากภาษาอังกฤษ 'brook' ไม่มีรากศัพท์บาลี-สันสกฤต…
บรูโน่,บรู-โน่,คำทับศัพท์จากภาษาเยอรมัน 'Bruno' ไม่มีรากศัพท์บาลี-สันสกฤ…
บลิ้ง,บลิ้ง,คำทับศัพท์จากภาษาอังกฤษ 'bling' หรือ 'blink' ไม่มีรากศัพท…
บลิงค์,บะ-ริง,คำทับศัพท์จากภาษาอังกฤษ 'blink' ไม่มีรากศัพท์บาลี-สันสกฤต…
บลิซ,บลิ-ซด,คำทับศัพท์จากภาษาอังกฤษ 'bliss' ไม่มีรากศัพท์บาลี-สันสกฤต…
บลู,บลู,คำทับศัพท์จากภาษาอังกฤษ 'blue' ไม่มีรากศัพท์บาลี-สันสกฤตต…
บวร,บอ-วอน,ผู้ประเสริฐเลิศล้ำและประเสริฐ
บวรกฤษฎิ์,บอ-วอ-ระ-กริด,ผู้ประเสริฐเลิศล้ำและประเสริฐ
บวรกานต์,บอ-วอ-ระ-กาน,ผู้ประเสริฐเลิศล้ำและประเสริฐ
บวรกิตติ์,บอ-วอ-ระ-กิด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีชื่อเสียงดีงาม
บวรเกียรติ์,บอ-วอน-เกียน,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีเกียรติยศ
บวรชนก,บอ-วอน-ชะ-นก,ผู้ประเสริฐเลิศล้ำและประเสริฐ
บวรชัช,บอ-วอ-ระ-ชัด,ผู้ประเสริฐเลิศล้ำและประเสริฐ
บวรชัย,บะ-วอน-ไช,ผู้มีความประเสริฐและชัยชนะ
บวรเดช,บอ-วอ-ระ-เดด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีอำนาจบารมี
บวรทัต,บอ-วอ-ระ-ทัด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และได้รับการประทาน
บวรนันท์,บอ-วอ-ระ-นัน,ผู้มีความประเสริฐและความยินดี
บวรนิตย์,บอ-วอน-นิด,ผู้ประเสริฐเลิศล้ำและประเสริฐ
บวรพจน์,บอ-วอ-ระ-พด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีถ้อยคำ
บวรพรรณ,บอ-วอน-พัน,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีพรรณงดงาม
บวรพล,บอ-วอน-พน,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีกำลัง
บวรพัฒน์,บอ-วอน-พัด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และเจริญก้าวหน้า
บวรภพ,บอ-วอน-พบ,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีโลกหรือภพอันดี
บวรภัค,บอ-วอน-พัก,ผู้ประเสริฐเลิศล้ำ ผู้มีโชค และประเสริฐ
บวรภัทร,บอ-วอน-พัด-ทรอ,ผู้ประเสริฐเลิศล้ำ ผู้ดีงามเป็นมงคล และประเสริฐ
บวรยุทธ,บอ-วอน-ยุด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และกล้าหาญในการรบ
บวรรัช,บอ-วอน-รัด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และรุ่งเรืองด้วยอำนาจ
บวรรัตน์,บอ-วะ-รัด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และล้ำค่าดุจแก้ว
บวรลักษณ์,บอ-วอน-ลัก,ผู้มีความประเสริฐและความงดงาม
บวรวงศ์,บอ-วอ-ระ-วง,ผู้มีความประเสริฐและเกียรติยศ
บวรวัจน์,บอ-วอ-ระ-วัด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีวาจางดงาม
บวรวัฒน์,บอ-วอน-วัด,ผู้มีความประเสริฐและความเจริญ
บวรวิช,บะ-วอน-วิด,ผู้ประเสริฐเลิศล้ำและประเสริฐ
บวรวิชญ์,บอ-วอน-วิด,ผู้มีความรู้ที่ประเสริฐยิ่ง
บวรวิทย์,บอ-วอน-วิด,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีความรู้
บวรศักดิ์,บอ-วอน-สัก,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีอำนาจและเกียรติ
บวรศักย์,บอ-วอน-สัก,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีความสามารถ
บวรสิทธิ์,บอ-วอ-ระ-สิด,ผู้มีความประเสริฐ ความสำเร็จ และความเป็นเลิศ
บวรอาภา,บอ-วอ-ระ-พา,ผู้ประเสริฐเลิศล้ำ ผู้ประเสริฐ และมีแสงสว่าง
บอล,บอน,คำทับศัพท์ หมายถึงลูกบอลหรือกีฬา
บังคล,บัง-คน,ผู้เปี่ยมด้วยความละมุน
บั้งเงิน,บั้ง-เงิน,สิ่งประดับหรือส่วนแบ่งเงิน สื่อถึงคุณค่าที่งดงาม
บังอร,บัง-ออน,หญิงงามอ่อนหวานเป็นที่รัก
บังอรสิริ,บัง-ออน-สิ-หริ,หญิงงามอ่อนหวานและมีสิริมงคล
บัญจรัตน์,บัน-จะ-รัด,ผู้มีห้าประการอันครบถ้วนและล้ำค่าดุจแก้ว
บัญชร,บัน-ชอน,ผู้มีหลักปัญญาและความมั่นคงสูงส่ง
บัญญพนต์,บัน-ยะ-พน,ผู้เปี่ยมด้วยหลักปัญญา
บัญญรัฐ,บัน-ยะ-รัด,ผู้มีความรู้และความมั่นคง
บัญญวัต,บัน-ยะ-วัด,ผู้มีหลักบัญญัติและการปฏิบัติ
บัญญวัติ,บัน-ยะ-วัด,ผู้มีข้อบัญญัติและแบบแผน
บัญญวิต,บัน-ยะ-วิด,ผู้รู้หลักบัญญัติ
บัญฑิตา,บัน-ทิ-ตา,ผู้มีหลักปัญญาและความอ่อนโยนสง่างาม
บัญพนต์,บัน-พน,ผู้เปี่ยมด้วยหลักปัญญา
บัณฑร,บัน-ทอน,ผู้ขาวผ่องบริสุทธิ์
บัณฑรนาค,บัน-ทะ-ระ-นา-คะ,ผู้ขาวผ่องบริสุทธิ์และยิ่งใหญ่และคุ้มครอง
บัณฑรวรรณ,บัน-ทะ-ระ-วัน,ผู้ขาวผ่องบริสุทธิ์ ผู้มีวรรณะงดงาม และประเสริฐ
บัณฑิต,บัน-ดิด,ผู้มีปัญญาและความรู้
บัณฑิตย์,บัน-ดิด,ผู้มีปัญญาและความรู้
บัณฑิตา,บัน-ทิ-ตา,หญิงผู้เป็นบัณฑิตและมีปัญญาและมีปัญญาและความรู้
บัณฑุ,บัน-ทุ,ผู้เปี่ยมด้วยฐานะแห่งความดี
บัณฑุนาค,บัน-ทุ-นาก,ผู้ขาวผ่องนวลใสและยิ่งใหญ่และคุ้มครอง
บัณฑูร,บัน-ทูน,ผู้มีฐานะแห่งความดีและความมั่นคงสูงส่ง
บัณณรส,บัน-นะ-รด,ผู้มีรสแห่งถ้อยคำและหนังสือ
บัณดล,บัน-ดน,ผู้บันดาลด้วยปัญญา
บัณทัต,บัน-ทัด,ผู้ได้รับปัญญา
บัณพร,บัน-นะ-พอน,ผู้ได้รับพรแห่งปัญญา
บันดล,บัด-ดน,ผู้บันดาลให้เกิดผลดี
บัลยงก์,บัน-ยง,พระแท่นที่นั่งอันสูงศักดิ์ หรือ ผู้มีที่นั่งอันสูงส่งและเ…
บัลลพ,บัน-ลบ,คนรัก หรือ ผู้เป็นที่รัก
บัวกลิ่น,บัว-กลิ่น,ผู้บริสุทธิ์งดงามดุจดอกบัวและมีเสน่ห์หอมละมุน
บัวงาม,บัว-งาม,ผู้บริสุทธิ์งดงามดุจดอกบัวและมีความงดงาม
บัวจันทร์,บัว-จัน,ผู้บริสุทธิ์งดงามดุจดอกบัวและเย็นงามดุจจันทร์
บัวเจริญ,บัว-จะ-เริน,ผู้บริสุทธิ์งดงามดุจดอกบัวและเจริญรุ่งเรือง
บัวชิด,บัว-ชิด,ผู้บริสุทธิ์งดงามดุจดอกบัว
บัวณัฐ,บัว-นัด,ผู้บริสุทธิ์งดงามดุจดอกบัวและนักปราชญ์ผู้มีปัญญา
บัวทิพย์,บัว-ทิบ,ผู้บริสุทธิ์งดงามดุจดอกบัวและเป็นทิพย์และประณีต
บัวนาค,บัว-นาก,ผู้บริสุทธิ์งดงามดุจดอกบัวและยิ่งใหญ่และคุ้มครอง
บัวบงกช,บัว-บง-กด,ดอกบัว
บัวบูชา,บัว-บู-ชา,ผู้บริสุทธิ์งดงามดุจดอกบัวและควรแก่การบูชา
บัวรัศมิ์,บัว-รัด,ผู้มีความบริสุทธิ์ ความประเสริฐ และความงดงาม
บัวลักษณ์,บัว-ลัก,ผู้บริสุทธิ์งดงามดุจดอกบัวและมีลักษณะงดงาม
บัวลา,บัว-ลา,ผู้บริสุทธิ์งดงามดุจดอกบัว
บัวลำ,บัว-ลำ,ผู้บริสุทธิ์งดงามดุจดอกบัว
บัวลุม,บัว-ลุม,ผู้บริสุทธิ์งดงามดุจดอกบัว
บัวอินทร์,บัว-อิน,ผู้บริสุทธิ์งดงามดุจดอกบัวและผู้เป็นใหญ่
บาจรีย์,บาด-จะ-รี,ผู้เปี่ยมด้วยการดำเนินชีวิต
บาจิกา,บา-จิ-กา,ผู้มีความบริบูรณ์และความอ่อนโยนสง่างาม
บาจิกาพร,บา-จิ-กา-พอน,ผู้ได้รับพรอันงดงาม
บารมี,บา-ระ-มี,ผู้มีบุญบารมีและคุณธรรมสูงและมั่งมี
บำเพ็ญ,บำ-เพ็น,ผู้มุ่งทำความดีให้สมบูรณ์
บิณฑ์,บิน,ผู้ได้รับสิ่งดีด้วยศรัทธา
บินมามะ,บิน-มา-มะ,ผู้เปี่ยมด้วยความบริบูรณ์
บิว,บิว,คำทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
บุญเกตุ,บุน-ยะ-เกด,ผู้มีบุญกุศลและเป็นยอดหรือเครื่องหมายมงคล
บุญเกิด,บุน-เกิด,ผู้มีบุญกุศลและเกิดมาพร้อมความดี
บุญเกียรติ,บุน-ยะ-เกียด,ผู้มีบุญกุศลและมีเกียรติยศ
บุญเกื้อ,บุน-เกื้อ,ผู้มีบุญกุศลและเกื้อกูล
บุญเขต,บุน-ยะ-เขด,ผู้มีบุญกุศลและมีขอบเขตมั่นคง
บุญงาม,บุน-งาม,ผู้มีบุญกุศลและมีความงดงาม
บุญจง,บุน-จง,ผู้มีบุญกุศล
บุญจรัส,บุน-จะ-รัด,ผู้มีบุญกุศลและสว่างไสว
บุญจิตร,บุน-จิด,ผู้มีบุญกุศลและมีจิตใจงดงาม
บุญชญา,บุน-ชะ-ยา,ผู้มีบุญกุศลและมีความรู้
บุญชนะ,บุน-ชะ-นะ,ผู้มีบุญกุศล ผู้มีชัยชนะ และเป็นคนดีในหมู่ชน
บุญชนิต,บุน-ชะ-นิด,ผู้มีบุญกุศล ผู้เกิดมาอย่างดี และเป็นคนดีในหมู่ชน
บุญชม,บุน-ชม,ผู้มีบุญกุศล
บุญช่วย,บุน-ช่วย,ผู้มีบุญกุศลและเกื้อกูลช่วยเหลือ
บุญชัย,บุน-ไช,ผู้มีบุญกุศลและมีชัยชนะ
บุญชาญ,บุน-ชาน,ผู้มีบุญกุศลและชำนาญ
บุญญเกียรติ,บุน-ยะ-เกียด,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และมีเกียรติยศ
บุญญปัญญ์,บุน-ยะ-ปัน,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และมีปัญญา
บุญญรัตน์,บ-ญ-ร,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และล้ำค่าดุจแก้ว
บุญญฤทธิ์,บุน-ยะ-ริด,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และมีฤทธิ์อำนาจ
บุญญา,บุน-ยา,ผู้เปี่ยมบุญกุศลและมีบุญกุศล
บุญญาณัฐ,บุน-ยา-นัด,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และนักปราชญ์ผู้มีปัญญา
บุญญาดา,บุน-ยา-ดา,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และได้รับสิ่งดีงาม
บุญญานนท์,บุน-ยา-นน,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และมีความสุขยินดี
บุญญานุช,บุน-ยา-นุช,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และหญิงผู้อ่อนเยาว์
บุญญาพร,บุน-ยา-พอน,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และได้รับพร
บุญญาภา,บุน-ยา-พา,ผู้มีบุญกุศล ปัญญา และความสว่าง
บุญญารัศมิ์,บุน-ยา-รัด,ผู้เปี่ยมบุญกุศล ผู้มีบุญกุศล และมีรัศมีสว่าง
บุญญิสา,บุน-ยิ-สา,ผู้เปี่ยมบุญกุศลและมีบุญกุศล
บุญฑริกา,บุน-ทะ-ริ-กา,ผู้มีบุญกุศล
บุญณิศา,บุน-นิ-สา,ผู้มีบุญกุศล
บุญทรง,บุน-ซรง,ผู้มีบุญกุศล
บุญทรัพย์,บุน-ทรับ,ผู้มีบุญกุศลและมั่งมีทรัพย์
บุญทริกา,บุน-ทิ-ระ,ผู้มีบุญกุศลและดอกบัวขาวผู้บริสุทธิ์
บุญทวี,บุน-ทะ-วี,ผู้มีบุญกุศลและเพิ่มพูนทวี
บุญทิพา,บุน-ทิ-พา,ผู้มีบุญกุศลและสว่างดุจกลางวัน
บุญทิวา,บุน-ทิ-วา,ผู้มีบุญกุศลและสว่างดุจกลางวัน
บุญธร,บุน-ทอน,ผู้มีบุญกุศลและค้ำจุน
บุญธรรม,บุน-ทำ,ผู้มีบุญกุศล ผู้ค้ำจุน และตั้งมั่นในธรรม
บุญธัช,บุน-ทัด,ผู้มีบุญกุศลและเป็นธงแห่งเกียรติ
บุญนิตย์,บุน-ยะ-นิด,ผู้มีบุญกุศลและมั่นคงเป็นนิตย์
บุญนิธิ,บุน-ยะ-นิ-ทิ,ผู้มีบุญกุศลและเป็นขุมทรัพย์
บุญนิศา,บุน-นิ-สา,ผู้มีบุญกุศล
บุญนิสา,บุน-นิ-สา,ผู้มีบุญกุศล
บุญนุช,บุน-นะ-ชุด,ผู้มีบุญกุศลและหญิงผู้อ่อนเยาว์
บุญพัฒน์,บุน-ยะ-พัด,ผู้มีบุญกุศลและเจริญก้าวหน้า
บุญพิทักษ์,บุน-พิ-ทัก,ผู้มีบุญกุศลและปกป้องรักษา
บุญพิพัฒน์,บุน-ยะ-พิ-พัด,ผู้มีบุญกุศล ผู้เจริญก้าวหน้า และเจริญงอกงาม
บุญมา,บุน-มา,ผู้มีบุญกุศลและมาถึงพร้อมความดี
บุญมี,บุน-มี,ผู้มีบุญกุศลและมั่งมี
บุญยง,บุน-ยง,ผู้มีบุญกุศลและยืนยง
บุญยรัตน์,บุน-ยะ-รัด,ผู้มีบุญกุศลและล้ำค่าดุจแก้ว
บุญยวีย์,บุน-ยะ-วี,ผู้มีบุญกุศล
บุญยืน,บุน-ยืน,ผู้มีบุญกุศลและมั่นคงยืนยาว
บุญรอด,บุน-รอด,ผู้มีบุญกุศลและแคล้วคลาดปลอดภัย
บุญรัตน์,บุน-ยะ-รัด,ผู้มีบุญกุศลและล้ำค่าดุจแก้ว
บุญเรือน,บุน-เรือน,ผู้มีบุญกุศลและมีบ้านเรือนมั่นคง
บุญฤทธิ์,บุน-ยะ-ริด,ผู้มีบุญกุศลและมีฤทธิ์อำนาจ
บุญเลิศ,บุน-เลิด,บุญอันยอดเยี่ยม หรือ ผู้มีบุญอันประเสริฐ
บุญวัศ,บุน-ยะ-วัด,ผู้มีบุญกุศลและมีอำนาจ
บุญศิริ,บุน-ยะ-สิ-หริ,ผู้มีบุญกุศลและมีสิริมงคล
บุญส่ง,บุน-ส่ง,ผู้มีบุญกุศลและส่งเสริม
บุญสิตา,บุน-สิ-ตา,ผู้มีบุญกุศล
บุญสิทธิ์,บุน-ยะ-สิด,ผู้มีบุญกุศลและความสำเร็จ
บุญสิริ,บุน-ยะ-สิ-หริ,ผู้มีบุญกุศลและมีสิริมงคล
บุญเสริม,บุน-เสิม,ผู้มีบุญกุศลและเพิ่มพูนส่งเสริม
บุญหลาย,บุน-หลาย,ผู้มีบุญกุศลและมีมากมาย
บุญเหลือ,บุน-เหลือ,ผู้มีบุญกุศลและมีเหลือเฟือ
บุณฑรีก์,บุน-ดะ-รี,ดอกบัวขาว ผู้บริสุทธิ์งดงาม
บุณณดา,บุน-นะ-ดา,ผู้ให้บุญหรือผู้เกิดจากบุญ
บุณทริก,บุน-ทะ-ริก,ผู้เปี่ยมบุญกุศลและดอกบัวขาวผู้บริสุทธิ์
บุณพกร,บุน-นะ-พะ-กอน,ผู้เปี่ยมบุญกุศล
บุณพจน์,บุน-นะ-พด,ผู้เปี่ยมบุญกุศลและมีถ้อยคำดี
บุณมี,บุน-นะ-มี,ผู้เปี่ยมบุญกุศลและมั่งมี
บุณย์,บุน,ผู้เปี่ยมบุญกุศลและบุญกุศลอันงดงาม
บุณยกร,บุน-ยะ-กอน,ผู้เปี่ยมบุญกุศล
บุณยกฤต,บุน-ยะ-กริด,ผู้เปี่ยมบุญกุศลและกระทำสำเร็จ
บุณยจิตต์,บุน-ยะ-จิด,ผู้เปี่ยมบุญกุศลและมีจิตใจดี
บุณยชน,บุน-ยะ-ชน,ผู้เปี่ยมบุญกุศลและเป็นคนดีในหมู่ชน
บุณยชา,บุน-ยะ-ชา,ผู้เปี่ยมบุญกุศล
บุณย์ญานุช,บุน-ยา-นุด,ผู้เปี่ยมบุญกุศล บุญกุศลอันงดงาม และหญิงผู้อ่อนเยาว์
บุณยเณจฉ์,บุน-ยะ-เน,ผู้เปี่ยมบุญกุศล
บุณยธร,บุน-ยะ-ทอน,ผู้เปี่ยมบุญกุศลและค้ำจุน
บุณยนุช,บุน-ยะ-นุด,ผู้เปี่ยมบุญกุศลและหญิงผู้อ่อนเยาว์
บุณยพร,บุน-ยะ-พอน,ผู้เปี่ยมบุญกุศลและได้รับพร
บุณยพัต,บุน-ยะ-พัด,ผู้เปี่ยมบุญกุศลและเกี่ยวพันกับความดี
บุณยภู,บุน-ยะ-พู,ผู้เป็นใหญ่ด้วยบุญ หรือ ผู้มีบุญเป็นที่พึ่งพา
บุณยวีร์,บุน-ยะ-วี,ผู้เป็นเลิศด้วยความดีงาม
บุณยอร,บุน-ยะ-ออน,ผู้เปี่ยมบุญกุศลและมีความงามอ่อนหวาน
บุณยากร,บุน-ยา-กอน,ผู้เปี่ยมบุญกุศล
บุณยานุช,บุน-ยา-นุด,ผู้เปี่ยมบุญกุศลและหญิงผู้อ่อนเยาว์
บุณยาพร,บุน-ยา-พอน,ผู้เปี่ยมบุญกุศลและได้รับพร
บุณิกา,บุ-นิ-กา,หญิงผู้เปี่ยมบุญกุศล
บุตรดี,บุด-ดี,บุตรผู้มีความดีงาม
บุนนาค,บุน-นาก,ต้นบุนนาค ดอกไม้หอมงามและยิ่งใหญ่และคุ้มครอง
บุปผา,บุบ-ผา,ดอกไม้ ผู้สดใสงดงาม
บุปผาสวรรค์,บุบ-ผะ-สา-วัน,ดอกไม้ ผู้สดใสงดงามและประเสริฐ
บุพกร,บุบ-พะ-กอน,ผู้ริเริ่มกระทำ
บุรกฤดิ,บุ-ระ-กริด,ผู้สร้างความเจริญแก่เมือง
บุรเกียรติ,บุ-ระ-เกียน,ผู้เปี่ยมด้วยเมืองอันรุ่งเรือง
บุรชัย,บุ-ระ-ไช,ผู้มีเมืองอันรุ่งเรืองและชัยชนะ
บุรณพร,บุ-ระ-นะ-พอน,ผู้มีฐานะแห่งความดี ความกล้าหาญ และความมั่นคงสูงส่ง
บุรณะ,บุ-ระ-นะ,ผู้มีฐานะแห่งความดีและความกล้าหาญ
บุรธัช,บุ-ระ-ทัด,ผู้เปี่ยมด้วยธรรมะ
บุรนนท์,บุ-ระ-นน,ผู้มีเมืองอันรุ่งเรืองและความสุขยินดี
บุรบุษย์,บุ-ระ-บุด,ผู้เปี่ยมด้วยเมืองอันรุ่งเรือง
บุรพทิศ,บุ-รบ-ทิด,ผู้เปี่ยมด้วยเมืองอันรุ่งเรือง
บุรพร,บุ-ระ-พอน,ผู้มีเมืองอันรุ่งเรืองและความมั่นคงสูงส่ง
บุรพล,บุ-ระ-พน,ผู้มีเมืองอันรุ่งเรือง ความละมุน และกำลัง
บุรพัฒน์,บุ-ระ-พัด,ผู้เปี่ยมด้วยความเจริญ
บุรวิช,บุ-หระ-วิด,ผู้มีเมืองอันรุ่งเรืองและความรู้
บุรเศรษฐ์,บุ-ระ-เสด,ผู้มีเมืองอันรุ่งเรืองและความมุ่งมั่น
บุรัสกร,บุ-หรัด-สะ-กอน,ผู้สร้างเมืองหรือผู้ให้แสงแก่เมือง
บุรินทร์,บุ-ริน,ผู้เป็นใหญ่แห่งเมือง
บุรินทร์พัฒน์,บุ-ริน-พัด,ผู้มีความเจริญ ความอ่อนละมุนดุจสายน้ำ และความเป็นใหญ่
บุรินทร์ภัทร,บุ-ริน-พัด-ทรอ,ผู้มีความรุ่งเรือง ความดีงาม และความมั่นคง
บุรินทร์ยศ,บุ-รน-ยด,ผู้มีความรุ่งเรือง ความเป็นผู้นำ และความมั่นคง
บุรินทร์รัตน์,บุ-ริน-รัด,ผู้มีความรุ่งเรือง ความเป็นผู้นำ และความมั่นคง
บุรินทร์ลักษณ์,บุ-ริน-ลัก,ผู้มีฐานะแห่งความดี ความละมุน และความอ่อนละมุนดุจสายน้ำ
บุรินทร์วัชร์,บุ-ริน,ผู้มีความรุ่งเรือง ความเป็นผู้นำ และความมั่นคง
บุรินทร์วิชญ์,บุ-ริน-วิด,ผู้มีปัญญา ความอ่อนละมุนดุจสายน้ำ และความเป็นใหญ่
บุรินทร์ศักย์,บุ-ริน-สัก,ผู้มีความรุ่งเรือง ความเป็นผู้นำ และความมั่นคง
บุรินทร์สิทธิ์,บุ-ริน-ทิด,ผู้มีความสำเร็จและสิทธิอันชอบและมีความสำเร็จ
บุริมทิศ,บุ-ริม-ทิด,ทิศตะวันออกหรือทิศเบื้องหน้า
บุริศร์,บุ-ริด,ผู้เป็นใหญ่แห่งเมือง
บุรี,บุ-รี,เมืองหรือถิ่นฐานอันมั่นคง
บุลกร,บุ-ละ-กอน,ผู้มีความละมุนและความมั่นคงสูงส่ง
บุลกิต,บุน-กิด,ผู้มีความละมุนและความฉลาดว่องไว
บุลพร,บุ-ละ-พอน,ผู้มีความละมุนและความมั่นคงสูงส่ง
บุลพศ,บุน-ละ-พด,ผู้เปี่ยมด้วยความละมุน
บุลพิชญ์,บุน-ละ-พิด,ผู้มีปัญญาและความละมุน
บุลภร,บุ-ละ-พอน,ผู้มีความละมุน การค้ำจุน และความมั่นคงสูงส่ง
บุลภรณ์,บุน-ละ-พอน,ผู้มีฐานะแห่งความดี ความละมุน และความกล้าหาญ
บุลภัทร,บุ-ละ-พัด,ผู้มีความละมุน ความดีงามเป็นมงคล และความมั่นคง
บุลลา,บุน-ลา,ผู้มีความละมุนและความอ่อนโยนสง่างาม
บุลวัชร,บุ-ละ-วัด,ผู้มีความละมุน เพชร และความมั่นคงสูงส่ง
บุศบก,บุด-สะ-บอก,บุษบก เรือนยอดงดงามอันประณีต
บุศรา,บุด-สะ-รา,ผู้มีความมุ่งมั่นและความอ่อนโยนสง่างาม
บุษกร,บุด-สะ-กอน,ผู้สร้างดอกไม้หรือแสงงาม
บุษกล,บุด-สะ-กน,ผู้มีดอกไม้และความละมุน
บุษบง,บุด-สะ-บง,ดอกไม้ ผู้สดใสงดงาม
บุษบรรณ,บุด-สะ-บัน,ดอกไม้ ผู้สดใสงดงาม
บุษบัณ,บุด-สะ-บัน,ผู้เปี่ยมด้วยฐานะแห่งความดี
บุษบัน,บุด-สะ-บัน,ดอกไม้ผู้สดใสงดงาม
บุษบา,บุด-สะ-บา,ดอกไม้ ผู้สดใสงดงาม
